rally,ball_round,roundscore_A,roundscore_B,player,type,backhand,landing_area,player_location_area,opponent_location_area,getpoint_player,flaw,set,match_id,rally_id
13,5,7,6,CHOU Tien Chen,推撲球,0,9,8,8,,,1,1,12
13,6,7,6,Kento MOMOTA,殺球,0,8,9,8,,,1,1,12
13,7,7,6,CHOU Tien Chen,接殺防守,1,7,8,4,,,1,1,12
13,8,7,6,Kento MOMOTA,挑球,0,9,8,8,,,1,1,12
13,9,7,6,CHOU Tien Chen,長球,0,8,9,8,,,1,1,12
13,10,7,6,Kento MOMOTA,切球,0,8,3,8,,,1,1,12
13,11,7,6,CHOU Tien Chen,推撲球,1,4,8,8,,,1,1,12
13,12,7,6,Kento MOMOTA,切球,0,1,9,8,,,1,1,12
13,13,7,6,CHOU Tien Chen,推撲球,0,6,8,8,,,1,1,12
13,14,7,6,Kento MOMOTA,切球,0,5,8,8,,,1,1,12
13,15,7,6,CHOU Tien Chen,推撲球,0,9,8,8,,,1,1,12
13,16,7,6,Kento MOMOTA,長球,0,3,9,8,,,1,1,12
13,17,7,6,CHOU Tien Chen,切球,0,2,8,8,,,1,1,12
13,18,7,6,Kento MOMOTA,挑球,0,3,8,8,,,1,1,12
13,19,7,6,CHOU Tien Chen,長球,0,6,8,8,,,1,1,12
13,20,7,6,Kento MOMOTA,長球,0,3,4,8,,,1,1,12
13,21,7,6,CHOU Tien Chen,長球,0,4,9,8,,,1,1,12
13,22,7,6,Kento MOMOTA,長球,0,3,9,8,,,1,1,12
13,23,7,6,CHOU Tien Chen,切球,0,2,9,8,,,1,1,12
13,24,7,6,Kento MOMOTA,網前球,0,7,8,8,,,1,1,12
13,25,7,6,CHOU Tien Chen,推撲球,1,4,7,8,,,1,1,12
13,26,7,6,Kento MOMOTA,切球,0,1,8,8,,,1,1,12
13,27,7,6,CHOU Tien Chen,網前球,0,7,8,8,,,1,1,12
13,28,7,6,Kento MOMOTA,挑球,1,9,8,8,,,1,1,12
13,29,7,6,CHOU Tien Chen,切球,1,8,8,8,,,1,1,12
13,30,7,6,Kento MOMOTA,網前球,0,7,8,8,,,1,1,12
13,31,7,6,CHOU Tien Chen,網前球,0,2,7,8,,,1,1,12
13,32,7,6,Kento MOMOTA,挑球,0,3,2,8,,,1,1,12
13,33,7,6,CHOU Tien Chen,殺球,0,8,5,8,,,1,1,12
13,34,7,6,Kento MOMOTA,接殺防守,1,7,8,8,,,1,1,12
13,35,7,6,CHOU Tien Chen,推撲球,1,3,7,8,,,1,1,12
13,36,7,6,Kento MOMOTA,長球,0,9,9,8,,,1,1,12
13,37,7,6,CHOU Tien Chen,長球,0,4,6,8,,,1,1,12
13,38,7,6,Kento MOMOTA,長球,0,3,9,8,,,1,1,12
13,39,7,6,CHOU Tien Chen,殺球,0,4,8,8,B,,1,1,12
14,1,8,6,CHOU Tien Chen,發短球,1,8,8,8,,,1,1,13
14,2,8,6,Kento MOMOTA,網前球,1,1,8,8,,,1,1,13
14,3,8,6,CHOU Tien Chen,網前球,0,2,7,8,,,1,1,13
14,4,8,6,Kento MOMOTA,挑球,0,9,2,7,,,1,1,13
14,5,8,6,CHOU Tien Chen,殺球,0,8,8,8,,,1,1,13
14,6,8,6,Kento MOMOTA,網前球,0,8,8,9,,,1,1,13
14,7,8,6,CHOU Tien Chen,推撲球,1,8,8,8,,,1,1,13
14,8,8,6,Kento MOMOTA,長球,1,9,8,8,,,1,1,13
14,9,8,6,CHOU Tien Chen,長球,0,4,8,8,,,1,1,13
14,10,8,6,Kento MOMOTA,切球,0,1,9,8,,,1,1,13
14,11,8,6,CHOU Tien Chen,網前球,0,2,8,8,,,1,1,13
14,12,8,6,Kento MOMOTA,挑球,0,3,7,8,,,1,1,13
14,13,8,6,CHOU Tien Chen,長球,0,4,9,8,,,1,1,13
14,14,8,6,Kento MOMOTA,殺球,0,5,9,8,A,,1,1,13
15,1,9,6,Kento MOMOTA,發短球,1,8,8,8,,,1,1,14
15,2,9,6,CHOU Tien Chen,推撲球,1,9,8,8,,,1,1,14
15,3,9,6,Kento MOMOTA,長球,0,3,8,8,,,1,1,14
15,4,9,6,CHOU Tien Chen,長球,0,4,8,8,,,1,1,14
15,5,9,6,Kento MOMOTA,切球,0,1,9,8,,,1,1,14
15,6,9,6,CHOU Tien Chen,網前球,0,2,8,8,,,1,1,14
15,7,9,6,Kento MOMOTA,挑球,0,3,7,8,,,1,1,14
15,8,9,6,CHOU Tien Chen,長球,0,9,8,8,,,1,1,14
15,9,9,6,Kento MOMOTA,切球,0,8,9,8,,,1,1,14
15,10,9,6,CHOU Tien Chen,接殺防守,0,2,8,8,,,1,1,14
15,11,9,6,Kento MOMOTA,網前球,0,1,8,8,,,1,1,14
15,12,9,6,CHOU Tien Chen,網前球,0,2,1,8,,,1,1,14
15,13,9,6,Kento MOMOTA,挑球,0,3,2,8,,,1,1,14
15,14,9,6,CHOU Tien Chen,殺球,0,6,8,8,,,1,1,14
15,15,9,6,Kento MOMOTA,接殺防守,0,7,8,3,,,1,1,14
15,16,9,6,CHOU Tien Chen,網前球,0,7,8,8,,,1,1,14
15,17,9,6,Kento MOMOTA,挑球,0,9,7,8,,,1,1,14
15,18,9,6,CHOU Tien Chen,殺球,0,7,8,8,A,,1,1,14
16,1,10,6,Kento MOMOTA,發短球,1,8,8,8,,,1,1,15
16,2,10,6,CHOU Tien Chen,推撲球,1,9,8,8,,,1,1,15
16,3,10,6,Kento MOMOTA,切球,0,8,9,8,,,1,1,15
16,4,10,6,CHOU Tien Chen,接殺防守,1,1,8,8,,,1,1,15
16,5,10,6,Kento MOMOTA,網前球,1,7,8,8,,,1,1,15
16,6,10,6,CHOU Tien Chen,網前球,1,1,7,8,,,1,1,15
16,7,10,6,Kento MOMOTA,挑球,1,9,7,8,,,1,1,15
16,8,10,6,CHOU Tien Chen,長球,0,4,8,8,,,1,1,15
16,9,10,6,Kento MOMOTA,切球,0,8,9,8,,,1,1,15
16,10,10,6,CHOU Tien Chen,接殺防守,1,7,8,8,,,1,1,15
16,11,10,6,Kento MOMOTA,挑球,1,3,7,8,,,1,1,15
16,12,10,6,CHOU Tien Chen,長球,0,4,9,8,,,1,1,15
16,13,10,6,Kento MOMOTA,長球,0,3,4,8,,,1,1,15
16,14,10,6,CHOU Tien Chen,長球,0,8,8,8,,,1,1,15
16,15,10,6,Kento MOMOTA,殺球,0,8,9,8,,,1,1,15
16,16,10,6,CHOU Tien Chen,接殺防守,1,3,8,8,,,1,1,15
16,17,10,6,Kento MOMOTA,長球,0,9,3,8,,,1,1,15
16,18,10,6,CHOU Tien Chen,殺球,0,7,8,8,,,1,1,15
16,19,10,6,Kento MOMOTA,接殺防守,0,7,8,8,,,1,1,15
16,20,10,6,CHOU Tien Chen,網前球,0,7,7,8,,,1,1,15
16,21,10,6,Kento MOMOTA,挑球,1,8,7,8,,,1,1,15
16,22,10,6,CHOU Tien Chen,殺球,0,8,8,8,,,1,1,15
16,23,10,6,Kento MOMOTA,接殺防守,1,7,8,8,,,1,1,15
16,24,10,6,CHOU Tien Chen,網前球,0,2,7,8,,,1,1,15
16,25,10,6,Kento MOMOTA,網前球,0,1,8,8,,,1,1,15
16,26,10,6,CHOU Tien Chen,推撲球,0,8,7,8,,,1,1,15
16,27,10,6,Kento MOMOTA,長球,1,8,8,8,,,1,1,15
16,28,10,6,CHOU Tien Chen,殺球,0,8,8,8,,,1,1,15
16,29,10,6,Kento MOMOTA,接殺防守,0,1,8,9,,,1,1,15
16,30,10,6,CHOU Tien Chen,網前球,0,2,8,8,,,1,1,15
16,31,10,6,Kento MOMOTA,挑球,0,8,2,8,,,1,1,15
16,32,10,6,CHOU Tien Chen,長球,0,4,8,8,,,1,1,15
16,33,10,6,Kento MOMOTA,切球,0,7,8,8,,,1,1,15
16,34,10,6,CHOU Tien Chen,網前球,1,7,8,8,,,1,1,15
16,35,10,6,Kento MOMOTA,挑球,0,9,7,8,,,1,1,15
16,36,10,6,CHOU Tien Chen,切球,1,7,9,8,,,1,1,15
16,37,10,6,Kento MOMOTA,網前球,1,7,7,8,,,1,1,15
16,38,10,6,CHOU Tien Chen,挑球,1,9,8,8,,,1,1,15
16,39,10,6,Kento MOMOTA,切球,0,5,9,8,,,1,1,15
16,40,10,6,CHOU Tien Chen,接殺防守,0,1,8,8,A,,1,1,15
17,1,10,7,Kento MOMOTA,發短球,1,8,8,8,,,1,1,16
17,2,10,7,CHOU Tien Chen,推撲球,0,8,8,8,,,1,1,16
17,3,10,7,Kento MOMOTA,長球,0,8,8,8,,,1,1,16
17,4,10,7,CHOU Tien Chen,殺球,0,8,8,8,,,1,1,16
17,5,10,7,Kento MOMOTA,接殺防守,0,8,8,8,,,1,1,16
17,6,10,7,CHOU Tien Chen,網前球,0,7,7,8,,,1,1,16
17,7,10,7,Kento MOMOTA,挑球,1,9,7,8,,,1,1,16
17,8,10,7,CHOU Tien Chen,長球,0,8,8,8,,,1,1,16
17,9,10,7,Kento MOMOTA,殺球,0,8,9,8,,,1,1,16
17,10,10,7,CHOU Tien Chen,接殺防守,1,7,8,9,,,1,1,16
17,11,10,7,Kento MOMOTA,挑球,1,3,8,8,,,1,1,16
17,12,10,7,CHOU Tien Chen,平球,0,8,9,8,,,1,1,16
17,13,10,7,Kento MOMOTA,網前球,0,8,8,8,,,1,1,16
17,14,10,7,CHOU Tien Chen,挑球,1,6,8,8,,,1,1,16
17,15,10,7,Kento MOMOTA,殺球,0,10,9,8,B,,1,1,16
18,1,10,8,CHOU Tien Chen,發短球,1,8,8,8,,,1,1,17
18,2,10,8,Kento MOMOTA,挑球,0,4,8,8,,,1,1,17
18,3,10,8,CHOU Tien Chen,長球,0,3,6,8,,,1,1,17
18,4,10,8,Kento MOMOTA,切球,1,8,3,8,,,1,1,17
18,5,10,8,CHOU Tien Chen,推撲球,0,8,8,8,,,1,1,17
18,6,10,8,Kento MOMOTA,殺球,0,8,9,8,,,1,1,17
18,7,10,8,CHOU Tien Chen,推撲球,0,8,8,8,,,1,1,17
18,8,10,8,Kento MOMOTA,殺球,0,8,8,8,,,1,1,17
18,9,10,8,CHOU Tien Chen,接殺防守,0,8,8,8,,,1,1,17
18,10,10,8,Kento MOMOTA,推撲球,1,8,8,8,,,1,1,17
18,11,10,8,CHOU Tien Chen,長球,0,4,8,8,,,1,1,17
18,12,10,8,Kento MOMOTA,長球,0,5,8,8,,,1,1,17
18,13,10,8,CHOU Tien Chen,長球,0,4,8,8,,,1,1,17
18,14,10,8,Kento MOMOTA,切球,0,8,8,8,,,1,1,17
18,15,10,8,CHOU Tien Chen,網前球,0,7,8,8,,,1,1,17
18,16,10,8,Kento MOMOTA,挑球,0,4,7,8,,,1,1,17
18,17,10,8,CHOU Tien Chen,長球,0,4,8,8,,,1,1,17
18,18,10,8,Kento MOMOTA,切球,0,1,9,8,,,1,1,17
18,19,10,8,CHOU Tien Chen,網前球,0,1,7,8,B,,1,1,17
19,1,11,8,CHOU Tien Chen,發長球,0,9,8,8,,,1,1,18
19,2,11,8,Kento MOMOTA,殺球,0,8,9,8,,,1,1,18
19,3,11,8,CHOU Tien Chen,接殺防守,1,9,8,8,,,1,1,18
19,4,11,8,Kento MOMOTA,長球,0,9,9,8,,,1,1,18
19,5,11,8,CHOU Tien Chen,長球,0,8,8,8,,,1,1,18
19,6,11,8,Kento MOMOTA,長球,0,3,9,8,,,1,1,18
19,7,11,8,CHOU Tien Chen,長球,0,10,8,8,A,,1,1,18
20,1,11,9,Kento MOMOTA,發短球,1,9,8,8,,,1,1,19
20,2,11,9,CHOU Tien Chen,長球,0,9,8,8,,,1,1,19
20,3,11,9,Kento MOMOTA,殺球,0,10,9,8,B,,1,1,19
21,1,12,9,CHOU Tien Chen,發短球,1,8,8,8,,,1,1,20
21,2,12,9,Kento MOMOTA,推撲球,1,8,8,8,,,1,1,20
21,3,12,9,CHOU Tien Chen,殺球,0,7,8,8,,,1,1,20
21,4,12,9,Kento MOMOTA,推撲球,1,9,8,9,,,1,1,20
21,5,12,9,CHOU Tien Chen,殺球,0,10,8,8,A,,1,1,20
22,1,13,9,Kento MOMOTA,發短球,1,8,8,8,,,1,1,21
22,2,13,9,CHOU Tien Chen,平球,1,8,8,8,,,1,1,21
22,3,13,9,Kento MOMOTA,推撲球,0,8,8,8,,,1,1,21
22,4,13,9,CHOU Tien Chen,殺球,0,8,8,8,,,1,1,21
22,5,13,9,Kento MOMOTA,接殺防守,0,8,8,5,,,1,1,21
22,6,13,9,CHOU Tien Chen,平球,1,8,8,8,,,1,1,21
22,7,13,9,Kento MOMOTA,接殺防守,1,6,8,8,,,1,1,21
22,8,13,9,CHOU Tien Chen,網前球,1,1,7,8,,,1,1,21
22,9,13,9,Kento MOMOTA,挑球,1,9,7,8,,,1,1,21
22,10,13,9,CHOU Tien Chen,長球,0,8,8,8,,,1,1,21
22,11,13,9,Kento MOMOTA,殺球,0,8,8,8,,,1,1,21
22,12,13,9,CHOU Tien Chen,網前球,0,7,8,4,A,,1,1,21
23,1,14,9,Kento MOMOTA,發短球,1,8,8,8,,,1,1,22
23,2,14,9,CHOU Tien Chen,平球,1,8,8,8,,,1,1,22
23,3,14,9,Kento MOMOTA,推撲球,0,8,8,8,,,1,1,22
23,4,14,9,CHOU Tien Chen,長球,0,8,8,8,,,1,1,22
23,5,14,9,Kento MOMOTA,殺球,0,8,9,8,,,1,1,22
23,6,14,9,CHOU Tien Chen,接殺防守,1,9,8,8,,,1,1,22
23,7,14,9,Kento MOMOTA,切球,0,8,8,8,,,1,1,22
23,8,14,9,CHOU Tien Chen,網前球,0,7,8,8,A,,1,1,22
24,1,14,10,Kento MOMOTA,發短球,1,8,8,8,,,1,1,23
